 ;Area;Mean;StdDev;Min;Max;Perim.;Median
1;55.378;175.148;118.265;0;255;35.907;255
2;49.642;178.612;116.811;0;255;32.553;255
3;22.544;251.574;29.361;0;255;30.93;255
4;45.284;183.77;114.415;0;255;30.016;255
5;43.836;196.504;107.217;0;255;35.885;255
6;40.908;186.928;112.808;0;255;27.901;255
7;42.041;191.633;110.2;0;255;27.961;255
8;46.752;187.193;112.667;0;255;29.996;255
9;43.041;182.543;115.011;0;255;32.161;255
10;10.772;233.862;70.319;0;255;16.054;255
11;39.706;188.433;112.002;0;255;33.217;255
12;11.529;255;0;255;255;21.75;255
13;32.512;208.276;98.653;0;255;26.271;255
14;10.16;248.348;40.652;0;255;15.131;255
15;56.483;179.302;116.506;0;255;30.752;255
16;39.485;200.043;104.856;0;255;29.841;255
17;25.75;248.47;40.284;0;255;37.266;255
18;14.483;244.889;49.766;0;255;18.6;255
19;32.171;224.963;82.206;0;255;29.181;255
20;10.696;252.969;22.67;0;255;14.646;255
21;9.882;248.731;39.495;0;255;49.307;255
22;93.677;159.464;123.43;0;255;53.543;255
23;14.984;253.765;17.705;0;255;24.323;255
24;41.627;200.223;104.73;0;255;31.857;255
25;54.34;196.218;107.4;0;255;38.96;255
