 ;Area;Mean;StdDev;Min;Max;Perim.;Median
1;0.607;255;0;255;255;3.177;255
2;0.643;255;0;255;255;3.202;255
3;0.751;255;0;255;255;3.277;255
4;1.453;255;0;255;255;5.727;255
5;1.087;255;0;255;255;4.334;255
6;0.415;255;0;255;255;2.935;255
7;0.513;255;0;255;255;2.793;255
8;0.937;255;0;255;255;3.829;255
9;0.431;255;0;255;255;2.692;255
10;1.587;255;0;255;255;5.914;255
11;1.257;255;0;255;255;5.089;255
12;0.581;255;0;255;255;3.924;255
13;1.074;255;0;255;255;4.172;255
14;1.398;255;0;255;255;5.276;255
15;1.936;255;0;255;255;6.298;255
16;2.041;255;0;255;255;5.942;255
17;0.908;255;0;255;255;3.735;255
18;1.159;255;0;255;255;4.339;255
19;0.764;255;0;255;255;3.606;255
20;2.681;252.205;26.568;0;255;9.978;255
21;0.731;255;0;255;255;3.573;255
22;0.637;255;0;255;255;4.206;255
23;0.95;255;0;255;255;4.058;255
24;0.565;255;0;255;255;3.297;255
25;0.803;255;0;255;255;3.593;255
26;0.937;255;0;255;255;3.89;255
27;0.604;255;0;255;255;3.91;255
28;0.836;255;0;255;255;3.729;255
29;1.427;255;0;255;255;5.067;255
30;1.1;255;0;255;255;5.303;255
31;2.103;246.289;46.355;0;255;8.425;255
32;0.647;255;0;255;255;3.344;255
33;1.365;255;0;255;255;4.562;255
34;1.283;255;0;255;255;5.747;255
35;1.476;252.743;23.908;0;255;6.791;255
36;0.666;255;0;255;255;3.62;255
37;1.717;255;0;255;255;6.649;255
38;1.691;255;0;255;255;7.798;255
39;2.619;248.641;39.788;0;255;7.383;255
40;1.832;255;0;255;255;9.601;255
41;0.725;255;0;255;255;3.439;255
42;1.058;255;0;255;255;4.105;255
43;0.682;255;0;255;255;3.264;255
44;1.208;255;0;255;255;4.757;255
45;1.146;255;0;255;255;5.532;255
46;1.335;255;0;255;255;5.309;255
47;2.181;255;0;255;255;6.212;255
48;1.62;255;0;255;255;6.326;255
49;0.438;255;0;255;255;2.793;255
50;1.211;255;0;255;255;4.643;255
51;1.975;251.628;29.153;0;255;6.931;255
52;1.757;255;0;255;255;5.303;255
53;0.996;255;0;255;255;5.579;255
54;0.803;255;0;255;255;4.428;255
55;0.728;255;0;255;255;3.648;255
56;0.891;255;0;255;255;3.748;255
57;0.421;255;0;255;255;2.383;255
58;1.286;255;0;255;255;7.307;255
59;1.701;255;0;255;255;5.908;255
60;1.724;255;0;255;255;5.997;255
61;0.428;255;0;255;255;2.584;255
62;1.172;255;0;255;255;4.091;255
63;0.97;255;0;255;255;3.93;255
64;0.643;255;0;255;255;5.423;255
65;0.682;255;0;255;255;3.406;255
66;1.025;255;0;255;255;3.877;255
67;0.891;255;0;255;255;4.657;255
68;2.322;255;0;255;255;7.926;255
69;1.309;255;0;255;255;4.858;255
70;1.025;255;0;255;255;4.799;255
71;1.509;255;0;255;255;5.128;255
72;1.407;255;0;255;255;5.619;255
73;0.5;255;0;255;255;3.587;255
74;1.078;255;0;255;255;4.69;255
75;1.215;255;0;255;255;4.334;255
76;1.845;255;0;255;255;5.956;255
77;1.505;255;0;255;255;5.262;255
78;1.208;255;0;255;255;4.771;255
79;1.162;255;0;255;255;4.657;255
80;1.078;255;0;255;255;4.548;255
81;1.949;255;0;255;255;6.184;255
82;1.642;255;0;255;255;5.12;255
83;0.767;255;0;255;255;3.615;255
84;0.493;255;0;255;255;4.348;255
85;1.339;255;0;255;255;4.562;255
86;1.476;255;0;255;255;4.858;255
87;1.211;255;0;255;255;5.557;255
88;1.417;255;0;255;255;4.972;255
89;1.776;255;0;255;255;5.867;255
