 ;Area;Mean;StdDev;Min;Max;Perim.;Median
1;12.875;239.86;60.272;0;255;19.781;255
2;9.715;237.619;64.28;0;255;14.859;255
3;6.991;224.361;82.937;0;255;11.864;255
4;8.013;253.02;22.389;0;255;13.614;255
5;6.093;250.722;32.762;0;255;12.638;255
6;6.693;248.904;38.965;0;255;11.016;255
7;8.284;244.056;51.696;0;255;13.126;255
8;10.737;236.107;66.802;0;255;26.418;255
9;7.533;252.894;23.086;0;255;12.036;255
10;8.453;247.894;41.981;0;255;24.717;255
11;10.222;250.233;34.547;0;255;17.945;255
12;10.075;244.876;49.801;0;255;13.958;255
13;3.991;251.592;29.296;0;255;9.962;255
14;12.044;206.446;100.137;0;255;17.014;255
15;7.693;231.724;73.462;0;255;12.434;255
16;8.062;251.345;30.317;0;255;12.261;255
17;11.653;249.651;36.55;0;255;21.017;255
18;9.262;231.874;73.246;0;255;13.91;255
19;5.858;255;0;255;255;11.894;255
20;6.209;243.135;53.729;0;255;11.526;255
21;6.849;255;0;255;255;14.648;255
22;8.955;237.663;64.207;0;255;14.606;255
23;10.222;213.535;94.118;0;255;16.209;255
24;10.617;238.776;62.254;0;255;18.647;255
25;8.622;252.897;23.068;0;255;12.453;255
26;8.844;238.214;63.252;0;255;20.789;255
27;7.337;255;0;255;255;16.29;255
28;6.946;255;0;255;255;13.487;255
29;7.089;251.962;27.674;0;255;11.855;255
30;9.751;228.617;77.682;0;255;14.039;255
31;5.622;255;0;255;255;12.963;255
32;8.426;254.597;10.138;0;255;12.577;255
33;6.044;246.938;44.636;0;255;10.346;255
34;7.831;253.987;16.045;0;255;13.276;255
35;5.769;244.588;50.484;0;255;10.544;255
36;8.009;253.443;19.868;0;255;16;255
37;7.035;254.356;12.806;0;255;17.987;255
38;7.306;255;0;255;255;11.302;255
39;7.413;253.93;16.49;0;255;14.869;255
40;8.355;248.761;39.407;0;255;14.758;255
41;6.577;247.764;42.357;0;255;10.863;255
42;6.969;252.886;23.13;0;255;13.269;255
43;7.373;252.233;26.425;0;255;12.97;255
44;6.964;248.165;41.197;0;255;12.241;255
45;8.146;240.532;59.008;0;255;12.954;255
46;7.213;223.105;84.382;0;255;11.995;255
47;8.533;197.094;106.859;0;255;12.873;255
48;8.409;239.366;61.191;0;255;12.915;255
49;6.644;254.829;6.595;0;255;16.94;255
50;7.32;248.652;39.741;0;255;14.963;255
51;8.791;241.077;57.95;0;255;13.608;255
52;9.813;238.716;62.362;0;255;14.496;255
53;6.746;244.753;50.096;0;255;11.367;255
54;8.782;244.031;51.751;0;255;17.193;255
55;10.862;225.264;81.861;0;255;15.685;255
56;13.857;243.959;51.907;0;255;31.324;255
57;8.226;249.765;36.169;0;255;14.342;255
58;7.213;243.53;52.867;0;255;16.085;255
59;6.493;255;0;255;255;11.289;255
60;11.097;241.928;56.247;0;255;16.179;255
61;5.751;249.285;37.759;0;255;11.735;255
62;8.044;245.561;48.158;0;255;13.422;255
63;9.826;230.434;75.255;0;255;13.818;255
64;6.457;253.947;16.358;0;255;14.804;255
65;7.449;229.896;75.992;0;255;12.073;255
66;7.986;247.053;44.321;0;255;13.22;255
67;8.422;249.752;36.213;0;255;13.529;255
68;6.115;255;0;255;255;11.542;255
69;7.666;244.504;50.673;0;255;13.698;255
70;7.324;239.217;61.464;0;255;16.078;255
71;6.555;253.963;16.236;0;255;12.453;255
72;10.546;240.063;59.894;0;255;17.181;255
73;12.057;230.468;75.206;0;255;14.995;255
74;8.075;206.723;99.928;0;255;12.112;255
75;7.346;255;0;255;255;12.999;255
76;8.617;254.737;8.188;0;255;13.799;255
77;9.795;207.911;98.969;0;255;16.784;255
78;6.28;253.556;19.14;0;255;13.646;255
79;7.924;255;0;255;255;17.876;255
80;7.435;220.858;86.862;0;255;11.988;255
81;11.168;238.257;63.172;0;255;15.519;255
82;9.497;218.606;89.217;0;255;16.692;255
83;8.217;255;0;255;255;12.655;255
84;10.826;232.599;72.199;0;255;16.439;255
