 ;Area;Mean;StdDev;Min;Max;Perim.;Median
1;6.864;233.659;70.63;0;255;14.335;255
2;6.88;255;0;255;255;12.562;255
3;5.275;255;0;255;255;10.765;255
4;2.201;255;0;255;255;6.436;255
5;6.936;242.961;54.095;0;255;13.049;255
6;6.961;190.094;111.099;0;255;13.653;255
7;5.192;245.243;48.929;0;255;10.762;255
8;3.106;255;0;255;255;7.882;255
9;9.256;215.36;92.409;0;255;13.772;255
10;5.653;249.915;35.659;0;255;11.667;255
11;7.267;205.545;100.841;0;255;11.302;255
12;2.955;255;0;255;255;8.266;255
13;3.865;255;0;255;255;11.543;255
14;6.915;255;0;255;255;19.177;255
15;2.424;255;0;255;255;7.298;255
16;4.582;255;0;255;255;9.054;255
17;10.158;189.902;111.2;0;255;13.825;255
18;5.304;242.482;55.108;0;255;10.275;255
19;5.64;255;0;255;255;13.752;255
20;6.499;222.454;85.106;0;255;11.968;255
21;3.549;255;0;255;255;7.939;255
22;4.056;255;0;255;255;8.518;255
23;3.546;255;0;255;255;8.218;255
24;5.79;238.331;63.044;0;255;10.439;255
25;3.729;255;0;255;255;8.516;255
26;7.538;243.376;53.198;0;255;16.452;255
27;7.962;244.941;49.646;0;255;17.451;255
28;4.131;255;0;255;255;10.067;255
29;7.629;231.761;73.401;0;255;13.838;255
30;3.041;255;0;255;255;8.127;255
31;1.654;255;0;255;255;7.517;255
32;2.915;226.354;80.562;0;255;7.773;255
33;1.611;255;0;255;255;5.377;255
34;1.278;255;0;255;255;5.082;255
35;3.653;255;0;255;255;7.957;255
36;5.726;209.093;97.997;0;255;10.79;255
37;3.962;255;0;255;255;11.359;255
38;1.525;255;0;255;255;6.231;255
39;9.481;209.877;97.329;0;255;14.095;255
40;5.173;255;0;255;255;11.018;255
41;8.856;253.763;17.718;0;255;13.698;255
42;5.13;247.794;42.266;0;255;9.431;255
43;5.068;229.473;76.556;0;255;10.269;255
44;6.689;230.544;75.103;0;255;16.612;255
45;6.19;252.788;23.65;0;255;12.129;255
46;7.334;254.347;12.894;0;255;12.938;255
47;6.158;252.888;23.116;0;255;12.245;255
48;1.071;255;0;255;255;5.625;255
49;1.348;255;0;255;255;4.93;255
50;1.495;255;0;255;255;5.185;255
51;3.855;255;0;255;255;8.182;255
52;5.401;249.297;37.716;0;255;10.939;255
53;2.998;255;0;255;255;7.53;255
54;9.755;218.581;89.233;0;255;15.397;255
55;5.632;246.735;45.169;0;255;9.842;255
56;4.456;250.699;32.847;0;255;10.656;255
57;6.459;217.163;90.665;0;255;12.215;255
58;7.28;252.179;26.676;0;255;13.514;255
59;3.463;255;0;255;255;8.124;255
60;1.527;255;0;255;255;5.284;255
61;2.445;255;0;255;255;6.315;255
62;2.241;255;0;255;255;6.279;255
63;7.865;252.128;26.914;0;255;11.123;255
64;4.118;255;0;255;255;10.755;255
65;8.236;254.252;13.793;0;255;17.519;255
66;3.151;255;0;255;255;10.702;255
67;5.428;205.816;100.637;0;255;9.668;255
68;9.653;237.627;64.262;0;255;15.748;255
69;1.629;255;0;255;255;5.698;255
