 ;Area;Mean;StdDev;Min;Max;Perim.;Median
1;9.327;249.111;38.317;0;255;11.444;255
2;7.654;218.879;88.958;0;255;10.692;255
3;8.034;226.743;80.08;0;255;11.312;255
4;7.625;222.585;84.982;0;255;11.084;255
5;7.445;230.656;74.97;0;255;10.286;255
6;9.298;239.444;61.055;0;255;11.394;255
7;15.724;216.692;91.131;0;255;17.724;255
8;5.033;247.725;42.484;0;255;15.725;255
9;7.991;219.03;88.801;0;255;11.105;255
10;8.293;254.558;10.607;0;255;11.117;255
11;7.539;249.414;37.343;0;255;11.047;255
12;6.132;190.205;111.08;0;255;10.274;255
13;4.286;255;0;255;255;18.687;255
14;6.928;247.337;43.559;0;255;9.848;255
15;6.117;249.014;38.631;0;255;9.241;255
16;6.548;253.043;22.267;0;255;9.728;255
17;8.508;220.139;87.64;0;255;11.122;255
18;5.335;240.929;58.265;0;255;13.386;255
19;7.862;238;63.637;0;255;10.947;255
20;8.257;227.061;79.683;0;255;10.901;255
21;5.737;255;0;255;255;9.05;255
22;8.135;206.386;100.211;0;255;11.485;255
23;7.532;247.464;43.204;0;255;10.439;255
24;6.648;255;0;255;255;10.324;255
25;6.038;245.6;48.076;0;255;14.155;255
26;6.648;232.419;72.484;0;255;11.716;255
27;7.632;238.448;62.853;0;255;10.468;255
28;3.769;255;0;255;255;14.6;255
29;7.345;211.129;96.289;0;255;11.084;255
30;6.526;250.792;32.503;0;255;10.343;255
31;8.063;247.734;42.446;0;255;12.009;255
32;6.648;255;0;255;255;14.422;255
33;7.28;246.701;45.27;0;255;10.179;255
34;6.85;255;0;255;255;9.869;255
35;5.852;252.184;26.665;0;255;12.828;255
36;7.043;245.642;47.969;0;255;10.6;255
37;6.885;253.67;18.374;0;255;10.432;255
38;6.943;255;0;255;255;9.877;255
39;6.167;237.485;64.531;0;255;10.401;255
40;7.237;251.711;28.786;0;255;9.989;255
41;8.206;244.961;49.613;0;255;10.856;255
42;7.819;245.868;47.407;0;255;10.357;255
43;5.392;242.097;55.928;0;255;8.67;255
44;6.972;253.424;19.993;0;255;9.799;255
45;5.335;236.124;66.807;0;255;9.092;255
46;7.23;252.721;24.011;0;255;10.439;255
47;7.539;255;0;255;255;10.447;255
48;6.972;240.294;59.477;0;255;9.828;255
49;6.857;255;0;255;255;12.996;255
50;5.442;254.664;9.262;0;255;9.054;255
51;8.982;235.839;67.249;0;255;11.914;255
52;5.65;232.319;72.636;0;255;9.889;255
53;8.077;204.453;101.704;0;255;11.079;255
54;7.489;229.573;76.439;0;255;10.831;255
55;6.189;220.389;87.389;0;255;9.369;255
56;7.682;220.682;87.066;0;255;10.952;255
57;6.821;214.737;93.033;0;255;10.362;255
58;5.507;255;0;255;255;8.741;255
59;7.51;229.159;76.99;0;255;11.067;255
60;6.871;217.429;90.429;0;255;10.663;255
61;8.206;251.43;29.971;0;255;10.807;255
62;6.462;239.7;60.593;0;255;9.538;255
63;6.756;255;0;255;255;9.509;255
